"Artist","Track","Tier","Playlist_ID","Playlist_Name","Playlist_URL","IG","Email","Status","Notes"
"Ases Falsos","Mala Fama","B","PL2","Indie Pop Épico: Triunfo y Transformación","https://open.spotify.com/playlist/3A35KIqDxtIPnmU9FrAkAH","@asesfalsos","","pending",""
"Belén Aguilera","La Tirita","B","PL2","Indie Pop Épico: Triunfo y Transformación","https://open.spotify.com/playlist/3A35KIqDxtIPnmU9FrAkAH","@belenaguilera","","pending",""
"Gala Briê","9Amor","B","PL1","Balada Folk Latino: Nostalgia, Raíces y Hogar","https://open.spotify.com/playlist/3RemCcFC1HkpdutHaATLbp","@galabrie","","pending",""
"Gala Briê","9Amor","B","PL2","Indie Pop Épico: Triunfo y Transformación","https://open.spotify.com/playlist/3A35KIqDxtIPnmU9FrAkAH","","","pending",""
"Jimena Amarillo","Mandarinas en la cocina","B","PL1","Balada Folk Latino: Nostalgia, Raíces y Hogar","https://open.spotify.com/playlist/3RemCcFC1HkpdutHaATLbp","@jimenaamarillo","","pending",""
"Jimena Amarillo","Mandarinas en la cocina","B","PL2","Indie Pop Épico: Triunfo y Transformación","https://open.spotify.com/playlist/3A35KIqDxtIPnmU9FrAkAH","@jimenaamarillo","","pending",""
"Kevin Kaarl","San Lucas","B","PL1","Balada Folk Latino: Nostalgia, Raíces y Hogar","https://open.spotify.com/playlist/3RemCcFC1HkpdutHaATLbp","@kevinkaarl","","pending",""
"Kevin Kaarl","San Lucas","B","PL2","Indie Pop Épico: Triunfo y Transformación","https://open.spotify.com/playlist/3A35KIqDxtIPnmU9FrAkAH","@kevinkaarl","","pending",""
"Laia Lepiani","Aquí te espero","B","PL1","Balada Folk Latino: Nostalgia, Raíces y Hogar","https://open.spotify.com/playlist/3RemCcFC1HkpdutHaATLbp","@laialepiani","","pending",""
"Laia Lepiani","Aquí te espero","B","PL2","Indie Pop Épico: Triunfo y Transformación","https://open.spotify.com/playlist/3A35KIqDxtIPnmU9FrAkAH","@laialepiani","","pending",""
"Leo Rizzi","Amapolas","B","PL1","Balada Folk Latino: Nostalgia, Raíces y Hogar","https://open.spotify.com/playlist/3RemCcFC1HkpdutHaATLbp","@leorizzi","","pending",""
