Title,ISRC,Slug,ffURL
"Abril, Tú y Yo",US7VG2664408,abril-tu-y-yo,https://ffm.to/abril-tu-y-yo
"Al encuentro del amor",QZHZ52604998,al-encuentro-del-amor,https://ffm.to/al-encuentro-del-amor
"Ama Mientras Puedas",US7VG2696235,ama-mientras-puedas,https://ffm.to/ama-mientras-puedas
"Arrendajo de Invierno",US7VG2664409,arrendajo-de-invierno,https://ffm.to/arrendajo-de-invierno
"Ayer me encontré a ese niño",QZHZ52604996,ayer-me-encontre-a-ese-nino,https://ffm.to/ayer-me-encontre-a-ese-nino
"Barquito de Papel",US7VG2664415,barquito-de-papel,https://ffm.to/barquito-de-papel
"Bitácora de un Copo",US7VG2664407,bitacora-de-un-copo,https://ffm.to/bitacora-de-un-copo
"Buenos Días, Medianoche",US7VG2696236,buenos-dias-medianoche,https://ffm.to/buenos-dias-medianoche
"Claveles",QZHZ52604997,claveles,https://ffm.to/claveles
"Confession",QZHZ52604995,confession,https://ffm.to/confession
"Cuando Naciste, Mi Amor",QZHZ32691551,cuando-naciste-mi-amor,https://ffm.to/cuando-naciste-mi-amor
"Diciembre Es una Imagen",US7VG2664410,diciembre-es-una-imagen,https://ffm.to/diciembre-es-una-imagen
"Eco en Tu Memoria",US7VG2696237,eco-en-tu-memoria,https://ffm.to/eco-en-tu-memoria
"El Remanso de Su Voz",US7VG2696238,el-remanso-de-su-voz,https://ffm.to/el-remanso-de-su-voz
"El Sena Sin Ti",US7VG2664416,el-sena-sin-ti,https://ffm.to/el-sena-sin-ti
"En mi cajón izquierdo",QZHZ52604992,en-mi-cajon-izquierdo,https://ffm.to/en-mi-cajon-izquierdo
"Encuentro de Fugitivos",US7VG2696239,encuentro-de-fugitivos,https://ffm.to/encuentro-de-fugitivos
"Escucha al tiempo hablar por mí",QZHZ52604991,escucha-al-tiempo-hablar-por-mi,https://ffm.to/escucha-al-tiempo-hablar-por-mi
"Farolas Sin Luz",QZHZ52604999,farolas-sin-luz,https://ffm.to/farolas-sin-luz
"Hoy necesito escribir una canción de amor",QZHZ52605000,hoy-necesito-escribir-una-cancion-de-amor,https://ffm.to/hoy-necesito-escribir-una-cancion-de-amor
"La hija del dragón",QZHZ52604993,la-hija-del-dragon,https://ffm.to/la-hija-del-dragon
"La magia del violín",QZHZ32661946,la-magia-del-violin,https://ffm.to/la-magia-del-violin
"La oficina de objetos perdidos",QZHZ52604989,la-oficina-de-objetos-perdidos,https://ffm.to/la-oficina-de-objetos-perdidos
"Ladrido de Humanidad",US7VG2664413,ladrido-de-humanidad,https://ffm.to/ladrido-de-humanidad
"Lo voy a decir",QZHZ32658047,lo-voy-a-decir,https://ffm.to/lo-voy-a-decir
"Mamá, si vuelvo a verte",US7VG2664243,mama-si-vuelvo-a-verte,https://ffm.to/mama-si-vuelvo-a-verte
"Mármol Que Respira",QZHZ32675931,marmol-que-respira,https://ffm.to/marmol-que-respira
"Más Roja Que las Rosas",US7VG2696240,mas-roja-que-las-rosas,https://ffm.to/mas-roja-que-las-rosas
"Nieve en Paris",US7VG2664412,nieve-en-paris,https://ffm.to/nieve-en-paris
"Nunca Tuve Tanto Frío",US7VG2664411,nunca-tuve-tanto-frio,https://ffm.to/nunca-tuve-tanto-frio
"Oh, Belleza",US7VG2696241,oh-belleza,https://ffm.to/oh-belleza
"Para escuchar te amo",QZHZ52604994,para-escuchar-te-amo,https://ffm.to/para-escuchar-te-amo
"Pequeña era",QZHZ32643305,pequena-era,https://ffm.to/pequena-era
"Que das la vida para dar vida",QZGLS2662242,que-das-la-vida-para-dar-vida,https://ffm.to/que-das-la-vida-para-dar-vida
"Qué triste está todo sin ti",QZHZ52604990,que-triste-esta-todo-sin-ti,https://ffm.to/que-triste-esta-todo-sin-ti
"Redondillas",QZ5AB2649199,redondillas,https://ffm.to/redondillas
"Sólo Ábreme el Telón",US7VG2664414,solo-abreme-el-telon,https://ffm.to/solo-abreme-el-telon
"Tokio en Tus Mensajes",US7VG2696242,tokio-en-tus-mensajes,https://ffm.to/tokio-en-tus-mensajes
"Tvo en la Tv",US7VG2696243,tvo-en-la-tv,https://ffm.to/tvo-en-la-tv
"Ultimo Verano en Hailsham",US7VG2696244,ultimo-verano-en-hailsham,https://ffm.to/ultimo-verano-en-hailsham
"Vuelve otra vez",QZHZ52605001,vuelve-otra-vez,https://ffm.to/vuelve-otra-vez
"Y vio el mar",QZHZ32657824,y-vio-el-mar,https://ffm.to/y-vio-el-mar

